DVD's;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Afbeelding;Eigenaar;Film/Serie;Titel;Regisseur;Taal;Jaartal;Genre;Speelduur;IMDb link;Seizoen;Aantal afl.;Staat;Punten;Beschrijving
dvd_1.jpg;martijn;Film;Moon;Duncan Jones;Engels;2009;Science Fiction;97;http://www.imdb.com/title/tt1182345/;-;-;Goed;;"Astronaut Sam Bell woont al bijna drie jaar op de maan in opdracht van Lunar Industries. Hij leeft daar een eenzaam bestaan en door een defecte satelliet heeft hij amper contact met zijn vrouw Tess en driejarige dochter Eve. Zijn enige maatje aan boord is Gerty: een robot. Onverwacht krijgt Sam gezondheidsproblemen en gaat hallucineren waardoor hij een bijna-fataal ongeluk krijgt. Als hij terug is op zijn basisstation, ontmoet hij zijn jongere en agressieve ""ik"". "
dvd_2.jpg;martijn;Serie;Deadwood season 1;-;Engels;2004;Western;45;http://www.imdb.com/title/tt0348914/;1;12;Goed;;Deadwood is een televisieserie die zich aan het einde van de negentiende eeuw afspeelt in Deadwood (South Dakota), een stadje dat toentertijd beheerst werd door de goudkoorts. Na drie seizoenen is de serie gestopt. Wel zijn er plannen om __n of meerdere films als vervolg van de serie te maken.
dvd_3.jpg;tommy;Film;Nikitia;;;2005;;;;;;;;
dvd_4.jpg;peter;Film;Bloedverwanten;;;2006;;;;;;;;
dvd_5.jpg;karel;Film;Harry Potter, Steen der Wijzen;;;2007;;;;;;;;
dvd_6.jpg;freek;Film;Ghost Protocol;;;2008;;;;;;;;
dvd_7.jpg;johan;Film;Pirates of the Caribbean;;;2009;;;;;;;;
dvd_8.jpg;diego;Film;Sherlock Holmes;;;2010;;;;;;;;
dvd_9.jpg;bart;Film;The Girl with the Dragon Tattoo;;;2011;;;;;;;;
dvd_10.jpg;linda;Serie;Deadwood season 2;-;Engels;2005;Western;45;http://www.imdb.com/title/tt0348914/;;;;;
dvd_11.jpg;sanne;Film;Elvis;;Engels;2006;muziek;;;;;;;
dvd_12.jpg;petra;Serie;Gossip Girl;;Engels;2005;soap;;;;;;;
dvd_13.jpg;vera;film;The Box;;Engels;2004;Thriller;;;;;;;
dvd_14.jpg;kirsten;Serie;Lost;;Engels;2011;Suspense;;;;;;;
dvd_15.jpg;lana;;;;;;;;;;;;;
dvd_16.jpg;estjer;;;;;;;;;;;;;
dvd_17.jpg;fiona;;;;;;;;;;;;;
dvd_18.jpg;;;;;;;;;;;;;;
dvd_19.jpg;;;;;;;;;;;;;;
dvd_20.jpg;;;;;;;;;;;;;;
dvd_21.jpg;;;;;;;;;;;;;;
dvd_22.jpg;;;;;;;;;;;;;;
dvd_23.jpg;;;;;;;;;;;;;;
dvd_24.jpg;;;;;;;;;;;;;;
dvd_25.jpg;;;;;;;;;;;;;;
dvd_26.jpg;;;;;;;;;;;;;;
dvd_27.jpg;;;;;;;;;;;;;;
dvd_28.jpg;;;;;;;;;;;;;;
dvd_29.jpg;;;;;;;;;;;;;;
dvd_30.jpg;;;;;;;;;;;;;;
dvd_31.jpg;;;;;;;;;;;;;;
dvd_32.jpg;;;;;;;;;;;;;;
dvd_33.jpg;;;;;;;;;;;;;;
dvd_34.jpg;;;;;;;;;;;;;;
dvd_35.jpg;;;;;;;;;;;;;;
dvd_36.jpg;;;;;;;;;;;;;;
dvd_37.jpg;;;;;;;;;;;;;;
dvd_38.jpg;;;;;;;;;;;;;;
dvd_39.jpg;;;;;;;;;;;;;;
dvd_40.jpg;;;;;;;;;;;;;;
dvd_41.jpg;;;;;;;;;;;;;;
dvd_42.jpg;;;;;;;;;;;;;;
dvd_43.jpg;;;;;;;;;;;;;;
dvd_44.jpg;;;;;;;;;;;;;;
dvd_45.jpg;;;;;;;;;;;;;;
dvd_46.jpg;;;;;;;;;;;;;;
dvd_47.jpg;;;;;;;;;;;;;;
dvd_48.jpg;;;;;;;;;;;;;;
dvd_49.jpg;;;;;;;;;;;;;;
dvd_50.jpg;;;;;;;;;;;;;;
